original,normalized
shipping,delivery
delivery,delivery
shipping speed,delivery
delivery time,delivery
battery,battery
battery life,battery
battery performance,battery
screen,display
display,screen
screen quality,display
display quality,display
price,price
cost,price
pricing,price
quality,quality
build quality,quality
material quality,quality
performance,performance
speed,performance
performance speed,performance
design,design
appearance,design
look,design
size,size
dimension,size
dimensions,size
weight,weight
weight of product,weight
sound,sound
audio,sound
sound quality,sound
audio quality,sound
customer service,customer service
support,customer service
service,customer service

